claim_id,tex_file,line_start,line_end,claim_text,claim_type,evidence_artifact,evidence_locator,evidence_hash,verification_method,status,review_notes
A01,manuscript.tex,,,"We propose a reusable, leakage-resistant evaluation protocol for cross-source deceptive-email detection and apply it to the MeAJOR v2.0 corpus, whose released artifact contains only the TREC 2005--2007 spam-track records that survive exact-text deduplication.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,a29f9f39c258c1ac3a6c770271c17c895e96a57fa60bbb7d7ed283f59e6cd9f5,numerical: macro/table cross-check,verified,
A02,manuscript.tex,,,Under random splitting the best model reaches a macro-F1 of \RandomBestMacroFOne{} (95\% CI \RandomBestMacroFOneCI); under source-disjoint evaluation the best is \SourceBestMacroFOne{} (95\% CI \SourceBestMacroFOneCI).,dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,a29f9f39c258c1ac3a6c770271c17c895e96a57fa60bbb7d7ed283f59e6cd9f5,numerical: macro/table cross-check,verified,
A03,manuscript.tex,,,"The per-model generalisation gap (random minus source-disjoint macro-F1) ranges from a mean of \GapMeanMTwo{} (M2) to \GapMeanMFour{} (M4), with worst-case holdout gaps up to \GapWorstMFour{}.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,a29f9f39c258c1ac3a6c770271c17c895e96a57fa60bbb7d7ed283f59e6cd9f5,manual read,needs-review,
A04,manuscript.tex,,,"A source-predictability probe shows the training features encode source identity with 0.95--0.97 cross-validated accuracy, and a training-only threshold-recalibration analysis shows the F1 drop is dominated by discrimination loss rather than calibration drift.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,a29f9f39c258c1ac3a6c770271c17c895e96a57fa60bbb7d7ed283f59e6cd9f5,numerical: macro/table cross-check,verified,
A05,manuscript.tex,,,"We validate the protocol on an independent 20,069-message corpus with zero exact-text overlap, where the linear text models retain macro-F1 of 0.86--0.90 while the structural model collapses to \SecFMThree{}.",experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,a29f9f39c258c1ac3a6c770271c17c895e96a57fa60bbb7d7ed283f59e6cd9f5,numerical: macro/table cross-check,verified,
R06,manuscript.tex,,,"The full per-split detail (66 rows: 36 source-disjoint + 6 random + 6 secondary + 18 sources-pooled cluster-disjoint) is provided in the supplementary file \texttt{supplementary.tex} (Table~S1), which is included in the replication repository at \url{https://github.com/Weihang-Huang/DeceptionEmail}.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R07,manuscript.tex,,,Error bars are standard errors across holdouts.} \label{fig:protocol} \end{figure} \begin{figure}[!htbp] \centering \includegraphics[width=\columnwidth]{figures/accuracy_efficiency_tradeoff.pdf} \caption{Source-disjoint mean macro-F1 against per-1000 inference time.} \label{fig:eff} \end{figure} Tab,dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R08,manuscript.tex,,,"On the primary random split, \RandomBestModel{} reached a macro-F1 of \RandomBestMacroFOne{} (95\% CI \RandomBestMacroFOneCI), the highest of the six models.",experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R09,manuscript.tex,,,"Under source-disjoint evaluation, \SourceBestModel{} achieved the highest macro-F1 at \SourceBestMacroFOne{} (95\% CI \SourceBestMacroFOneCI).",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R10,manuscript.tex,,,"The best-of-best generalisation gap is \GeneralisationGap{}; this single number, however, conceals substantial per-model and per-holdout variation.",experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,manual read,needs-review,
